"Cell Number,motif,motif.1,motif.2,motif.3,motif.4,Nalm 6 Cytotoxicity"
"2746,12,9,10,14,0,0.207063911"
"4208,3,6,12,14,0,0.73986604"
"928,6,8,11,14,0,0.854397557"
"2128,12,12,11,14,0,0.63470872"
"418,1,6,2,14,0,0.975838764"
"2780,8,6,3,14,0,0.761623248"
"11301,1,7,10,14,0,0.266907573"
"4827,7,1,6,14,0,0.845628147"
"4552,9,1,1,14,0,0.342823448"
"6717,10,10,9,14,0,0.2915224"
"7504,10,7,9,14,0,0.188935424"
"499,3,9,8,14,0,0.847729781"
"5152,7,1,12,14,0,0.503772358"
"1574,3,8,10,14,0,0.704743041"
"1388,10,10,7,10,14,0.379791046"
"5755,8,11,2,14,0,0.493475861"
"8209,7,8,9,14,0,0.752974796"
"4866,8,4,11,14,0,0.487140719"
"776,11,5,11,14,0,0.949500295"
"2002,8,12,7,14,0,0.666384433"
"12561,6,6,11,14,0,0.850300125"
"8837,6,11,11,14,0,0.476632547"
"2393,6,9,3,14,0,0.748484253"
"3820,9,7,2,14,0,0.257351941"
"5237,3,8,7,14,0,0.582636568"
"3593,7,1,6,14,0,0.871225752"
"5353,12,3,2,14,0,0.607145557"
"1495,11,10,10,14,0,0.855894404"
"6757,10,7,2,14,0,0.392718366"
"3136,1,10,2,14,0,0.836541224"
"321,11,12,11,14,0,1.005654757"
"4321,11,9,2,14,0,0.447043348"
"4006,12,6,5,14,0,0.830795748"
"15065,1,8,7,14,0,0.856952781"
"2552,11,6,12,14,0,0.443611183"
"2040,10,10,9,14,0,0.209649375"
"1568,11,10,6,14,0,0.479338968"
"2303,8,2,11,7,14,0.593598331"
"442,2,7,8,14,0,0.866765449"
"1118,1,2,11,14,0,0.886284945"
"928,12,12,8,14,0,0.7213898"
"2227,8,8,3,14,0,0.776243971"
"9618,10,10,10,14,0,0.661334462"
"1491,1,13,14,0,0,0.686478477"
"3554,11,11,11,6,14,0.460378899"
"6623,10,14,0,0,0,0.37731142"
"3365,2,8,3,14,0,0.751084836"
"5371,6,8,8,3,14,0.764375028"
"5331,10,1,12,14,0,0.439604469"
"1947,1,1,10,14,0,0.31179788"
"4760,8,2,5,14,0,0.959781672"
"1484,10,8,8,14,0,0.802023012"
"2090,10,9,9,14,0,0.330606752"
"4278,11,11,9,10,14,0.093197659"
"2814,12,11,3,14,0,0.565551339"
"2392,13,6,11,14,0,0.735012625"
"954,9,9,9,14,0,0.331030103"
"1429,3,6,6,14,0,0.805107425"
"4063,13,2,8,14,0,0.519587535"
"3685,10,6,3,14,0,0.528674458"
"2647,2,2,8,14,0,0.777408186"
"1310,8,8,8,14,0,0.891954822"
"13379,3,8,11,14,0,0.633045556"
"6243,11,10,7,14,0,0.11206701"
"2050,11,5,11,14,0,0.876547876"
"2964,6,1,13,14,0,0.470554438"
"6955,10,9,2,14,0,0.281770211"
"8259,6,3,12,14,0,0.59825519"
"5832,1,3,12,14,0,0.514537565"
"157,2,11,13,2,14,1.114304722"
"4439,12,1,2,14,0,0.459003009"
"6837,5,6,12,14,0,0.750737084"
"1569,10,8,10,14,0,0.789806317"
"10112,8,6,1,14,0,0.762636266"
"585,8,9,3,14,0,0.742511982"
"1256,6,8,3,14,0,0.797335914"
"4742,11,13,3,6,14,0.772312856"
"7224,8,11,11,14,0,0.720754774"
"1685,5,14,0,0,0,0.808993181"
"2079,11,10,1,14,0,0.004702218"
"5713,10,1,7,14,0,0.403287017"
"4804,9,2,1,14,0,0.275692103"
"3205,9,1,9,14,0,0.330032205"
"2237,1,12,8,14,0,0.687763649"
"816,2,13,11,14,0,0.84546183"
"2903,1,1,1,14,0,0.485810188"
"11395,8,6,9,11,14,0.657342869"
"541,10,7,1,14,0,0.42803792"
"7528,10,8,6,14,0,0.595337093"
"4481,6,8,8,14,0,0.542085608"
"1263,8,6,2,14,0,0.85332406"
"9603,13,2,6,14,0,0.588669318"
"6571,9,11,11,14,0,0.394714163"
"2191,1,2,2,14,0,0.492901314"
"3205,8,12,8,14,0,0.520676152"
"3606,6,11,8,14,0,0.481667397"
"4053,8,3,13,14,0,0.689411694"
"4326,8,12,7,14,0,0.57057107"
"1145,7,12,9,14,0,0.84780538"
"4596,2,9,9,14,0,0.501882399"
"1595,11,10,9,14,0,0.112308925"
"546,2,2,8,14,0,0.933896793"
"4376,11,12,3,9,14,0.826592479"
"1252,3,11,12,14,0,0.820877243"
"3204,10,2,10,14,0,0.776138133"
"2857,12,5,6,14,0,0.831309817"
"2849,11,6,6,14,0,0.873554181"
"7043,2,8,11,14,0,0.751946658"
"1026,11,8,4,14,0,0.683363825"
"668,12,9,11,14,0,0.858116996"
"1586,10,7,7,14,0,0.772721087"
"628,10,6,11,14,0,0.820983081"
"4325,10,9,1,14,0,0.163594853"
"15015,9,10,10,14,0,0.443913576"
"2779,4,8,3,14,0,0.756346482"
"1197,10,10,1,14,0,0.050363628"
"9999,12,12,9,14,0,0.479384327"
"1931,1,1,9,14,0,0.430895538"
"1585,11,1,7,14,0,0.534510652"
"2748,8,3,2,14,0,0.708795113"
"1031,5,3,3,14,0,0.860022075"
"12473,9,9,7,14,0,0.284461513"
"1686,4,9,1,14,0,0.00231331"
"4618,11,8,2,14,0,0.482317543"
"271,7,11,11,14,0,0.962352016"
"516,8,8,6,14,0,0.965753942"
"2194,1,1,10,14,0,0.366198461"
"3494,12,13,2,14,0,0.481969791"
"410,10,1,2,14,0,0.288120474"
"9076,8,3,12,14,0,0.535947021"
"1510,1,1,1,2,14,0.44559186"
"1593,7,6,6,14,0,0.987722826"
"78,1,8,6,14,0,1.001799241"
"2019,9,2,7,14,0,0.410196707"
"1191,6,9,11,14,0,0.74030451"
"150,11,6,2,14,0,1.197447799"
"4133,10,7,14,0,0,0.314428703"
"10767,5,6,6,14,0,0.855576891"
"4001,11,8,6,14,0,0.60286669"
"1020,12,8,8,14,0,0.77074041"
"2560,12,3,4,14,0,0.468528402"
"1884,12,5,8,14,0,0.782851268"
"2842,8,7,3,14,0,0.55214019"
"586,9,1,9,14,0,0.867899424"
"7195,2,2,11,14,0,0.719756876"
"10006,5,3,6,14,0,0.780326283"
"11650,13,10,9,14,0,0.30119899"
"4302,1,10,1,14,0,0.346815041"
"7382,9,1,7,14,0,0.654485251"
"2782,12,9,2,14,0,0.303648377"
"55,10,8,8,14,0,1.072241794"
"828,1,12,6,14,0,0.984668652"
"2914,2,8,7,14,0,0.467832897"
"4814,12,11,2,14,0,0.670920334"
"2497,2,8,6,14,0,0.710957226"
"2049,8,8,3,14,0,0.786540468"
"4303,1,14,0,0,0,0.440541889"
"5281,11,8,5,14,0,0.866206021"
"3625,1,7,9,14,0,0.456341947"
"4078,8,9,2,14,0,0.473548133"
"1641,1,13,3,14,0,0.600976731"
"718,9,10,10,14,0,0.410861973"
"2618,1,5,3,14,0,0.945297026"
"8242,12,14,0,0,0,0.430759461"
"8159,1,3,11,14,0,0.6632849"
"1118,1,12,6,14,0,0.906061477"
"1561,13,13,14,0,0,0.435491919"
"6207,3,6,6,14,0,0.817898668"
"1098,12,10,1,14,0,0.119596607"
"1099,2,11,6,14,0,0.833895281"
"1400,12,2,1,14,0,0.308486672"
"9012,2,3,6,14,0,0.759128502"